,0%,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%,Data,Score
0,29.0,55.20503992335931,81.41007984671862,107.61511977007792,133.82015969343723,241.97480038320347,268.17984030656277,294.3848802299221,320.5899201532814,346.79496007664073,373.0,120.0,4
1,1.0,9.0,17.0,25.0,33.0,5.0,13.0,21.0,29.0,37.0,45.0,4.0,1
2,1.0,9.0,17.0,25.0,33.0,5.0,13.0,21.0,29.0,37.0,45.0,4.0,1
3,0.6384009215522121,9.091267163590427,17.544133405628642,25.996999647666858,34.44986588970507,2.7356687898089174,11.188535031847133,19.64140127388535,28.094267515923566,36.54713375796178,45.0,3.9375,1
4,16.711195596826993,24.32513661559375,31.939077634360505,39.55301865312726,47.16695967189402,61.93029490616622,69.54423592493298,77.15817694369973,84.77211796246648,92.38605898123323,100.0,99.16666666666669,6
5,0.0,8.302949061662199,16.605898123324398,24.908847184986598,33.211796246648795,3.4852546916890086,11.788203753351208,20.09115281501341,28.394101876675606,36.6970509383378,45.0,0.0,10
6,0.0,5.890080428954422,11.780160857908845,17.670241286863266,23.56032171581769,15.549597855227885,21.439678284182307,27.32975871313673,33.21983914209115,39.10991957104557,45.0,0.0,1
7,29.0,49.3718125391424,69.7436250782848,90.11543761742719,110.48725015656959,202.14093730428803,222.5127498434304,242.8845623825728,263.2563749217152,283.6281874608576,304.0,114.0,1
8,6.0,16.2,26.4,36.599999999999994,46.8,64.0,74.2,84.4,94.60000000000001,104.80000000000001,115.0,6.0,5
9,0.0,20.4,40.8,61.199999999999996,81.6,0.0,20.4,40.8,61.199999999999996,81.6,102.0,0.0,1
10,5.468449587104146,12.868449587104147,20.268449587104147,27.66844958710415,35.06844958710415,8.0,15.4,22.8,30.200000000000003,37.6,45.0,11.0,1
11,0.5413902920037097,8.94139029200371,17.34139029200371,25.741390292003707,34.141390292003706,3.0,11.4,19.8,28.200000000000003,36.6,45.0,3.0,6
12,7.760262552056296,14.360262552056295,20.960262552056292,27.560262552056294,34.160262552056295,12.0,18.6,25.200000000000003,31.800000000000004,38.400000000000006,45.0,14.0,1
13,1.4560556946391332,8.99530300646709,16.534550318295047,24.073797630123003,31.61304494195096,7.303763440860215,14.843010752688173,22.38225806451613,29.921505376344086,37.46075268817204,45.0,4.1011235955056184,6
14,5.106018857331862,9.706018857331863,14.306018857331862,18.906018857331862,23.50601885733186,22.0,26.6,31.200000000000003,35.800000000000004,40.400000000000006,45.0,12.0,1
15,29.0,41.41934280476768,53.83868560953536,66.25802841430304,78.67737121907072,170.90328597616158,183.32262878092928,195.74197158569697,208.16131439046467,220.58065719523236,233.0,126.0,6
16,0.0,7.917241379310345,15.83448275862069,23.751724137931035,31.66896551724138,5.4137931034482785,13.331034482758623,21.24827586206897,29.165517241379312,37.08275862068966,45.0,6.0,1
17,0.0,8.082758620689656,16.165517241379312,24.24827586206897,32.331034482758625,4.586206896551723,12.668965517241379,20.751724137931035,28.83448275862069,36.91724137931035,45.0,6.0,6
18,16.0,20.6,25.200000000000003,29.800000000000004,34.400000000000006,71.0,75.6,80.19999999999999,84.79999999999998,89.39999999999998,94.0,72.0,1
19,0.0,6.0,12.0,18.0,24.0,15.0,21.0,27.0,33.0,39.0,45.0,2.0,2
20,,,,,,,,,,,,,5
21,,,,,,,,,,,,,1
22,,,,,,,,,,,,,6
23,,,,,,,,,,,,,1
24,,,,,,,,,,,,,6
25,,,,,,,,,,,,,6
26,,,,,,,,,,,,,1
